Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6918	0.351980	6894	0.065274	747	0.361446	5441	0.237640	0.214621	1783	0.264162	0.249061	1682	0.308561	0.000007	1805	0.522992	0.000019	1648	0.304005	58.547839	5441	0.237640	0.222400	0.218464	
6786	0.313587	6916	0.065356	711	0.379747	5587	0.239306	0.214621	1726	0.294902	0.249061	1657	0.266747	0.000009	1671	0.404548	0.000019	1732	0.289261	58.547839	5587	0.239306	0.209350	0.218457	
6793	0.264979	6931	0.057135	725	0.331034	5551	0.246442	0.214621	1712	0.251168	0.249061	1810	0.275138	0.000018	1551	0.226306	0.000019	1720	0.302907	58.547839	5551	0.246442	0.190200	0.218435	
6803	0.278113	7072	0.066035	698	0.329513	5427	0.259444	0.214621	1668	0.260791	0.249061	1729	0.257953	0.000011	1725	0.316522	0.000019	1681	0.276621	58.547839	5427	0.259444	0.199850	0.218421	
6713	0.282586	7035	0.060554	709	0.346968	5543	0.250406	0.214621	1679	0.278142	0.249061	1715	0.272303	0.000011	1644	0.321168	0.000019	1675	0.259701	58.547839	5543	0.250406	0.197850	0.218406	
6760	0.294083	6950	0.066763	694	0.399135	5596	0.239814	0.214621	1702	0.287309	0.249061	1694	0.282172	0.000011	1721	0.321325	0.000019	1643	0.284845	58.547839	5596	0.239814	0.203550	0.218395	
6793	0.268659	6968	0.066303	685	0.375182	5554	0.248290	0.214621	1733	0.245239	0.249061	1753	0.265830	0.000012	1630	0.299387	0.000019	1677	0.265951	58.547839	5554	0.248290	0.196150	0.218378	
6802	0.282858	6904	0.063297	726	0.308540	5568	0.251976	0.214621	1695	0.259587	0.249061	1824	0.273026	0.000012	1665	0.317117	0.000019	1618	0.283066	58.547839	5568	0.251976	0.199400	0.218364	
6911	0.299088	6980	0.062178	704	0.342330	5405	0.253654	0.214621	1733	0.283901	0.249061	1772	0.284989	0.000012	1712	0.337033	0.000019	1694	0.291027	58.547839	5405	0.253654	0.205650	0.218354	
6895	0.284409	6871	0.063746	664	0.418675	5570	0.251526	0.214621	1706	0.249121	0.249061	1796	0.284521	0.000012	1747	0.302805	0.000019	1646	0.301337	58.547839	5570	0.251526	0.203900	0.218343	
6859	0.273801	6816	0.065434	682	0.344575	5643	0.239234	0.214621	1758	0.257679	0.249061	1782	0.254209	0.000012	1702	0.290834	0.000019	1617	0.294991	58.547839	5643	0.239234	0.195450	0.218326	
6727	0.282295	7000	0.061286	724	0.375691	5549	0.238241	0.214621	1686	0.262752	0.249061	1679	0.271590	0.000013	1643	0.299452	0.000019	1719	0.295521	58.547839	5549	0.238241	0.196100	0.218310	
6924	0.276285	6987	0.065550	633	0.334913	5456	0.254399	0.214621	1765	0.260057	0.249061	1656	0.268116	0.000013	1777	0.287563	0.000019	1726	0.289108	58.547839	5456	0.254399	0.198550	0.218295	
6971	0.267680	6915	0.062617	675	0.290370	5439	0.251701	0.214621	1710	0.249708	0.249061	1766	0.263873	0.000013	1695	0.280236	0.000019	1800	0.276667	58.547839	5439	0.251701	0.193200	0.218276	
6737	0.279056	6939	0.060816	731	0.362517	5593	0.241194	0.214621	1648	0.255461	0.249061	1587	0.270951	0.000013	1782	0.294613	0.000019	1720	0.293023	58.547839	5593	0.241194	0.195800	0.218259	
