Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Alpha 2 - Dev	Alpha 2 - Tried	Alpha 2 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	Sigma^2 2 - Dev	Sigma^2 2 - Tried	Sigma^2 2 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
6418	0.287629	7140	0.060644	714	0.358543	5728	0.316166	0.233422	1845	0.261789	0.274326	1746	0.267468	0.000200	1028	0.032101	0.000012	1799	0.479711	36.803011	5728	0.316166	0.217300	0.222641	
6487	0.236010	7049	0.061143	715	0.327273	5749	0.325274	0.233422	1901	0.246186	0.274326	1847	0.282079	0.000134	1002	0.057884	0.000022	1737	0.278641	36.803011	5749	0.325274	0.203300	0.222626	
6320	0.302215	7289	0.062697	720	0.366667	5671	0.327455	0.233422	1822	0.266740	0.274326	1784	0.283072	0.000121	937	0.061900	0.000013	1777	0.484524	36.803011	5671	0.327455	0.224400	0.222628	
6428	0.260268	7150	0.059720	660	0.348485	5762	0.336342	0.233422	1780	0.238202	0.274326	1821	0.253158	0.000080	1071	0.096172	0.000015	1756	0.390091	36.803011	5762	0.336342	0.213400	0.222621	
6464	0.228032	7147	0.064922	698	0.359599	5691	0.344228	0.233422	1838	0.250272	0.274326	1857	0.245557	0.000073	1077	0.082637	0.000020	1692	0.277187	36.803011	5691	0.344228	0.207400	0.222609	
6548	0.221594	7091	0.062474	685	0.343066	5676	0.347956	0.233422	1859	0.222162	0.274326	1916	0.245303	0.000048	1067	0.094658	0.000017	1706	0.273740	36.803011	5676	0.347956	0.205200	0.222596	
6585	0.272589	6993	0.062062	694	0.371758	5728	0.326292	0.233422	1757	0.265225	0.274326	1822	0.270033	0.000047	1190	0.117647	0.000016	1816	0.383811	36.803011	5728	0.326292	0.217800	0.222592	
6550	0.233130	7196	0.063091	652	0.427914	5602	0.324170	0.233422	1778	0.227222	0.274326	1786	0.264278	0.000024	1387	0.183129	0.000025	1599	0.248280	36.803011	5602	0.324170	0.203800	0.222578	
6830	0.253587	6941	0.067570	690	0.414493	5539	0.313233	0.233422	1765	0.219830	0.274326	1761	0.252129	0.000022	1580	0.210127	0.000017	1724	0.329466	36.803011	5539	0.313233	0.211100	0.222569	
6369	0.206469	7205	0.071617	711	0.353024	5715	0.321435	0.233422	1911	0.228153	0.274326	1766	0.244054	0.000153	934	0.029979	0.000020	1758	0.238908	36.803011	5715	0.321435	0.195950	0.222548	
6234	0.246712	7282	0.065367	744	0.370968	5740	0.332927	0.233422	1784	0.211883	0.274326	1729	0.255639	0.000150	983	0.039674	0.000015	1738	0.390679	36.803011	5740	0.332927	0.210050	0.222539	
6423	0.270901	7033	0.059008	720	0.323611	5824	0.321600	0.233422	1809	0.259812	0.274326	1742	0.280138	0.000087	1056	0.077652	0.000016	1816	0.385463	36.803011	5824	0.321600	0.213050	0.222532	
6146	0.202733	7297	0.062903	753	0.349270	5804	0.329428	0.233422	1809	0.216694	0.274326	1762	0.250851	0.000053	1095	0.098630	0.000028	1480	0.205405	36.803011	5804	0.329428	0.194000	0.222510	
6455	0.246940	7111	0.059626	729	0.359396	5705	0.337949	0.233422	1854	0.230313	0.274326	1706	0.241501	0.000053	1157	0.114088	0.000015	1738	0.358458	36.803011	5705	0.337949	0.210400	0.222501	
6500	0.433538	7114	0.059320	743	0.329744	5643	0.325182	0.233422	1722	0.245645	0.274326	1770	0.272316	0.000042	1238	0.139742	0.000000	1770	0.983051	36.803011	5643	0.325182	0.266000	0.222534	
